Date,AAPL,ABBV,AMD,AMZN,BAC,BHP,BIIB,BP,C,CVX,DIS,FCX,GOOGL,GS,JNJ,JPM,KO,LLY,MCD,META,MRNA,MS,MSFT,NKE,NVDA,PEP,PFE,PG,QQQ,SBUX,SLB,SPY,TSLA,WFC,WMT,XLE,XLF,XLV,XLY,XOM,^DJI,^GSPC,^IXIC,ADA-USD,AVAX-USD,BNB-USD,BTC-USD,DOGE-USD,DOT-USD,ETH-USD,LINK-USD,LTC-USD,MATIC-USD,SOL-USD,XRP-USD
2023-11-13,183.89906311035156,132.501220703125,116.79000091552734,142.58999633789062,26.798707962036133,55.3839111328125,222.58999633789062,33.813629150390625,40.884246826171875,136.6204376220703,88.34857177734375,32.885955810546875,131.61288452148438,316.5786437988281,141.96275329589844,141.6484832763672,54.806392669677734,607.6143188476562,261.2652282714844,327.93731689453125,70.20999908447266,71.9241714477539,363.2211608886719,102.09898376464844,48.60194396972656,161.33399963378906,26.866418838500977,147.8550567626953,374.0373840332031,100.87877655029297,52.05755615234375,432.8600769042969,223.7100067138672,39.720157623291016,55.02695083618164,80.53974151611328,33.172142028808594,124.45751953125,160.46649169921875,100.46305084228516,34337.87109375,4411.5498046875,13767.740234375,0.35841500759124756,16.219932556152344,241.33506774902344,36502.35546875,0.07478199899196625,5.368368148803711,2055.265380859375,14.407805442810059,71.49154663085938,0.8839769959449768,51.90705108642578,0.6715239882469177
2023-11-14,186.5261993408203,131.9468994140625,119.87999725341797,145.8000030517578,28.269254684448242,57.52756118774414,225.25999450683594,33.9556999206543,42.473655700683594,137.6166229248047,89.95867919921875,34.59763717651367,133.13735961914062,328.01544189453125,141.99160766601562,144.23309326171875,54.97005081176758,606.8592529296875,263.4876708984375,335.03021240234375,74.0999984741211,75.05838012695312,366.77728271484375,103.61772918701172,49.63755798339844,161.6609344482422,27.125995635986328,147.52532958984375,382.0890808105469,102.9156494140625,52.39495849609375,441.2579040527344,237.41000366210938,40.996429443359375,55.0171012878418,81.25875854492188,33.799137115478516,125.30030059814453,165.87179565429688,100.8498764038086,34827.69921875,4495.7001953125,14094.3798828125,0.3578700125217438,17.090946197509766,242.263671875,35537.640625,0.07245700061321259,5.2027268409729,1979.0526123046875,13.968098640441895,70.63526153564453,0.9155840277671814,56.838375091552734,0.6296730041503906
2023-11-15,187.0934295654297,131.5072784423828,118.0,143.1999969482422,28.656238555908203,57.480133056640625,229.6300048828125,33.709442138671875,42.97153854370117,138.10047912597656,92.78377532958984,35.41413116455078,134.13375854492188,326.9308166503906,143.08782958984375,145.49627685546875,55.075950622558594,584.7236938476562,262.420166015625,331.4438781738281,76.3499984741211,76.37149810791016,366.92620849609375,105.64600372314453,48.86984634399414,160.83392333984375,27.988170623779297,146.84646606445312,382.3766174316406,103.33470916748047,51.74906539916992,442.1920471191406,242.83999633789062,41.736854553222656,55.716102600097656,81.10536193847656,33.98527526855469,125.39830017089844,166.06979370117188,100.24065399169922,34991.2109375,4502.8798828125,14103.83984375,0.37929201126098633,20.73465347290039,253.75534057617188,37880.58203125,0.07635600119829178,5.566057205200195,2060.408447265625,15.017497062683105,74.080322265625,0.922012984752655,65.5344009399414,0.6496480107307434
2023-11-16,188.78512573242188,132.1571807861328,119.83000183105469,142.8300018310547,28.578840255737305,57.271461486816406,229.4600067138672,33.16956329345703,42.770469665527344,135.91465759277344,93.35669708251953,34.96161651611328,136.43540954589844,326.03021240234375,144.3379364013672,147.1577911376953,55.0181884765625,584.932373046875,267.98126220703125,332.9182434082031,76.55000305175781,76.35233306884766,373.3779296875,105.44023132324219,49.46162796020508,161.27627563476562,27.598800659179688,148.21388244628906,382.703857421875,104.48471069335938,50.235538482666016,442.7328796386719,233.58999633789062,41.434837341308594,51.207088470458984,79.52351379394531,34.1224365234375,125.93728637695312,164.36703491210938,99.08023071289062,34945.46875,4508.240234375,14113.669921875,0.37176600098609924,21.760902404785156,242.75888061523438,36154.76953125,0.07927700132131577,5.358421802520752,1960.881591796875,13.88802433013916,71.1790542602539,0.8464900255203247,57.871402740478516,0.61216801404953
2023-11-17,188.76524353027344,132.17626953125,120.62000274658203,145.17999267578125,29.0045223236084,57.774173736572266,228.0,33.7283821105957,43.43113327026367,138.49356079101562,93.0010986328125,35.41413116455078,134.82125854492188,328.4705505371094,144.03982543945312,148.4889678955078,55.124080657958984,587.8732299804688,267.62213134765625,333.7650451660156,76.44000244140625,76.94658660888672,367.1048278808594,103.8235092163086,49.27969741821289,160.3627166748047,27.737863540649414,146.50704956054688,382.7931213378906,102.88640594482422,50.94891357421875,443.2835693359375,234.3000030517578,41.853763580322266,50.98065185546875,81.19164276123047,34.29878234863281,125.68248748779297,165.46588134765625,101.49776458740234,34947.28125,4514.02001953125,14125.48046875,0.36660900712013245,21.940824508666992,244.745361328125,36596.68359375,0.08630400151014328,5.242203235626221,1961.28076171875,13.68433952331543,70.18233489990234,0.830731987953186,58.41593551635742,0.6137170195579529
2023-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3776940107345581,21.995351791381836,244.9507598876953,36585.703125,0.08038300275802612,5.291220188140869,1963.2850341796875,13.74829387664795,69.89380645751953,0.8319600224494934,58.512725830078125,0.6111890077590942
2023-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38452500104904175,22.85964584350586,246.58778381347656,37386.546875,0.08057600259780884,5.444248199462891,2013.2044677734375,14.939276695251465,70.64031219482422,0.8531460165977478,61.393558502197266,0.627498984336853
2023-11-20,190.5166473388672,132.18582153320312,121.52999877929688,146.1300048828125,29.033546447753906,58.438133239746094,230.11000061035156,33.9841194152832,43.33538055419922,138.4168701171875,93.87035369873047,36.053550720214844,135.75787353515625,328.72235107421875,145.3096466064453,148.94564819335938,55.25886535644531,593.7249145507812,270.80548095703125,338.6763000488281,78.95999908447266,76.39067077636719,374.6384582519531,104.17623901367188,50.39028549194336,160.13192749023438,27.793485641479492,145.73123168945312,387.45355224609375,101.64868927001953,50.84288024902344,446.6957702636719,235.60000610351562,41.688140869140625,50.96424865722656,81.30669403076172,34.43593978881836,126.4468765258789,166.31727600097656,101.05294036865234,35151.0390625,4547.3798828125,14284.5302734375,0.38068199157714844,20.86159896850586,253.6350860595703,37476.95703125,0.07787899672985077,5.304597854614258,2022.2391357421875,14.465622901916504,69.51773834228516,0.8115180134773254,56.53383255004883,0.6128420233726501
2023-11-21,189.71060180664062,132.5872344970703,119.16000366210938,143.89999389648438,28.694934844970703,59.30128479003906,229.57000732421875,33.85151290893555,43.172607421875,138.0908966064453,93.29743194580078,36.39785385131836,136.4752655029297,324.3839416503906,146.4824981689453,148.63473510742188,55.865360260009766,588.7573852539062,272.2030334472656,335.69769287109375,77.13999938964844,75.21174621582031,370.3009338378906,104.40160369873047,49.925453186035156,161.3628387451172,28.090147018432617,145.0911407470703,385.2027282714844,101.05419921875,50.82360076904297,445.7222595214844,241.1999969482422,41.503028869628906,51.14802169799805,81.1245346069336,34.41633987426758,127.21126556396484,165.89158630371094,101.0142593383789,35088.2890625,4538.18994140625,14199.98046875,0.3586310148239136,19.04480743408203,226.4864044189453,35813.8125,0.07211899757385254,4.8893890380859375,1937.0667724609375,13.5319185256958,66.45738220214844,0.732545018196106,52.00047302246094,0.5804619789123535
2023-11-22,190.37733459472656,132.33876037597656,122.51000213623047,146.7100067138672,28.665910720825195,59.01673126220703,231.25,33.40635299682617,43.105587005615234,138.36892700195312,93.90986633300781,36.28964614868164,137.98977661132812,327.9379577636719,146.19171142578125,148.98451232910156,56.240814208984375,591.2312622070312,273.6199645996094,340.1905212402344,78.16999816894531,75.23091888427734,375.0454406738281,105.74398040771484,48.69791030883789,162.72836303710938,28.108688354492188,146.45855712890625,386.7793273925781,100.81056213378906,50.630794525146484,447.443115234375,234.2100067138672,41.67839813232422,50.757503509521484,81.08618927001953,34.553497314453125,127.81884765625,166.396484375,100.57910919189453,35273.03125,4556.6201171875,14265.8603515625,0.3806599974632263,20.7967586517334,236.1365966796875,37432.33984375,0.07578399777412415,5.17286491394043,2064.42529296875,14.236408233642578,68.7055892944336,0.7735329866409302,57.588558197021484,0.6118990182876587
